Node,NC,L_MW
2,177,0.99
3,214,2.01
4,222,0.41
5,166,0.36
6,214,1.49
7,294,1.57
8,302,0.91
9,171,1.45
10,279,1.98
11,208,2.43
12,260,1.18
13,305,1.46
14,303,1.71
15,140,2.06
16,153,2.74
17,286,1.78
18,251,2.67
19,144,2.3
20,235,1.6
21,140,0.2
22,222,2.02
23,220,0.41
24,217,3.04
25,231,2.08
26,196,1.69
27,193,1.92
28,271,1.44
29,198,0.18
30,222,1.55
31,168,2.06
32,268,0.26
33,245,1.65
34,200,1.87
35,270,2.32
36,258,1.38
37,227,0.89
39,177,0.99
40,214,2.01
41,222,0.41
42,166,0.36
43,214,1.49
44,294,1.57
45,302,0.91
46,171,1.45
47,279,1.98
48,208,2.43
49,260,1.18
50,305,1.46
51,303,1.71
52,140,2.06
53,153,2.74
54,286,1.78
55,251,2.67
56,144,2.3
57,235,1.6
58,140,0.2
59,222,2.02
60,220,0.41
61,217,3.04
62,231,2.08
63,196,1.69
64,193,1.92
65,271,1.44
66,198,0.18
67,222,1.55
68,168,2.06
69,268,0.26
70,245,1.65
71,200,1.87
72,270,2.32
73,258,1.38
74,227,0.89
76,177,0.99
77,214,2.01
78,222,0.41
79,166,0.36
80,214,1.49
81,294,1.57
82,302,0.91
83,171,1.45
84,279,1.98
85,208,2.43
86,260,1.18
87,305,1.46
88,303,1.71
89,140,2.06
90,153,2.74
91,286,1.78
92,251,2.67
93,144,2.3
94,235,1.6
95,140,0.2
96,222,2.02
97,220,0.41
98,217,3.04
99,231,2.08
100,196,1.69
101,193,1.92
102,271,1.44
103,198,0.18
104,222,1.55
105,168,2.06
106,268,0.26
107,245,1.65
108,200,1.87
109,270,2.32
110,258,1.38
111,227,0.89
