u,v,km,lambda,Tao_RP,Tao_SW
1,2,0.55349,0.055349,2.2,0.28
2,3,0.00929,0.000929,2.2,0.28
2,4,0.54624,0.054624,2.2,0.28
4,5,0.02691,0.002691,2.2,0.28
4,6,0.13625,0.013625,2.2,0.28
6,7,0.04866,0.004866,2.2,0.28
6,8,0.15597,0.015597,2.2,0.28
8,9,0.15088,0.015088,2.2,0.28
8,10,0.0228,0.00228,2.2,0.28
8,11,0.16942,0.016942,2.2,0.28
11,12,0.34433,0.034433,2.2,0.28
12,13,0.01611,0.001611,2.2,0.28
12,14,0.25412,0.025412,2.2,0.28
14,15,0.02631,0.002631,2.2,0.28
14,16,0.25832,0.025832,2.2,0.28
16,17,0.10617,0.010617,2.2,0.28
17,18,0.13558,0.013558,2.2,0.28
18,19,0.12944,0.012944,2.2,0.28
19,20,0.16555,0.016555,2.2,0.28
16,21,0.162,0.0162,2.2,0.28
21,22,0.09442,0.009442,2.2,0.28
22,23,0.05042,0.005042,2.2,0.28
23,24,0.02088,0.002088,2.2,0.28
22,25,0.01126,0.001126,2.2,0.28
22,26,0.05982,0.005982,2.2,0.28
26,27,0.00724,0.000724,2.2,0.28
26,28,0.024,0.0024,2.2,0.28
21,29,0.12563,0.012563,2.2,0.28
29,30,0.27256,0.027256,2.2,0.28
29,31,0.13437,0.013437,2.2,0.28
31,32,0.01159,0.001159,2.2,0.28
31,33,0.13449,0.013449,2.2,0.28
33,34,0.1716,0.01716,2.2,0.28
29,35,0.08838,0.008838,2.2,0.28
35,36,0.23877,0.023877,2.2,0.28
36,37,0.01241,0.001241,2.2,0.28
36,38,0.0749,0.00749,2.2,0.28
38,39,0.1129,0.01129,2.2,0.28
39,40,0.008,0.0008,2.2,0.28
40,41,0.095,0.0095,2.2,0.28
41,42,0.01,0.001,2.2,0.28
41,43,0.049,0.0049,2.2,0.28
40,44,0.08435,0.008435,2.2,0.28
44,45,0.1544,0.01544,2.2,0.28
44,46,0.07569,0.007569,2.2,0.28
46,47,0.0608,0.00608,2.2,0.28
46,48,0.0652,0.00652,2.2,0.28
48,49,0.09756,0.009756,2.2,0.28
49,50,0.04135,0.004135,2.2,0.28
50,51,0.0046,0.00046,2.2,0.28
50,52,0.04766,0.004766,2.2,0.28
52,53,0.00636,0.000636,2.2,0.28
52,54,0.02593,0.002593,2.2,0.28
54,55,0.08134,0.008134,2.2,0.28
55,56,0.06193,0.006193,2.2,0.28
54,57,0.0093,0.00093,2.2,0.28
54,58,0.09945,0.009945,2.2,0.28
58,59,0.07514,0.007514,2.2,0.28
59,60,0.08227,0.008227,2.2,0.28
60,61,0.08086,0.008086,2.2,0.28
59,62,0.07648,0.007648,2.2,0.28
62,63,0.06884,0.006884,2.2,0.28
59,64,0.16005,0.016005,2.2,0.28
64,65,0.06762,0.006762,2.2,0.28
64,66,0.0984,0.00984,2.2,0.28
66,67,0.0272,0.00272,2.2,0.28
66,68,0.05734,0.005734,2.2,0.28
68,69,0.02547,0.002547,2.2,0.28
68,70,0.01173,0.001173,2.2,0.28
38,71,0.14411,0.014411,2.2,0.28
71,72,0.02036,0.002036,2.2,0.28
71,73,0.09518,0.009518,2.2,0.28
73,74,0.02145,0.002145,2.2,0.28
73,75,0.11826,0.011826,2.2,0.28
75,76,0.0149,0.00149,2.2,0.28
75,77,0.18663,0.018663,2.2,0.28
77,78,0.1289,0.01289,2.2,0.28
77,79,0.14408,0.014408,2.2,0.28
77,80,0.11922,0.011922,2.2,0.28
73,81,0.11053,0.011053,2.2,0.28
81,82,0.22599,0.022599,2.2,0.28
81,83,0.07475,0.007475,2.2,0.28
83,84,0.1164,0.01164,2.2,0.28
84,85,0.01068,0.001068,2.2,0.28
85,86,0.09485,0.009485,2.2,0.28
86,87,0.0146,0.00146,2.2,0.28
87,88,0.09414,0.009414,2.2,0.28
87,89,0.10443,0.010443,2.2,0.28
87,90,0.1329,0.01329,2.2,0.28
90,91,0.00757,0.000757,2.2,0.28
91,92,0.11522,0.011522,2.2,0.28
92,93,0.12194,0.012194,2.2,0.28
90,94,0.08567,0.008567,2.2,0.28
94,95,0.0176,0.00176,2.2,0.28
94,96,0.02947,0.002947,2.2,0.28
94,97,0.01841,0.001841,2.2,0.28
90,98,0.07365,0.007365,2.2,0.28
84,99,0.13816,0.013816,2.2,0.28
99,100,0.05663,0.005663,2.2,0.28
100,101,0.00955,0.000955,2.2,0.28
100,102,0.03783,0.003783,2.2,0.28
102,103,0.01245,0.001245,2.2,0.28
102,104,0.09792,0.009792,2.2,0.28
104,105,0.16247,0.016247,2.2,0.28
104,106,0.02124,0.002124,2.2,0.28
104,107,0.10032,0.010032,2.2,0.28
107,108,0.0737,0.00737,2.2,0.28
107,109,0.12167,0.012167,2.2,0.28
109,110,0.01465,0.001465,2.2,0.28
110,111,0.11925,0.011925,2.2,0.28
111,112,0.07569,0.007569,2.2,0.28
111,113,0.07602,0.007602,2.2,0.28
110,114,0.0214,0.00214,2.2,0.28
