u,v,km,lambda,Tao_RP,Tao_SW
1,2,0.34484,0.034484,2.2,0.28
2,3,0.0593,0.00593,2.2,0.28
2,4,1.93972,0.193972,2.2,0.28
4,5,0.2987,0.02987,2.2,0.28
5,6,0.2413,0.02413,2.2,0.28
5,7,0.2378,0.02378,2.2,0.28
7,8,0.14775,0.014775,2.2,0.28
8,9,0.0258,0.00258,2.2,0.28
8,10,0.23075,0.023075,2.2,0.28
10,11,2.81736,0.281736,2.2,0.28
10,12,1.1802,0.11802,2.2,0.28
12,13,0.5944,0.05944,2.2,0.28
13,14,0.4952,0.04952,2.2,0.28
14,15,0.05477,0.005477,2.2,0.28
15,16,0.12133,0.012133,2.2,0.28
16,17,0.2027,0.02027,2.2,0.28
17,18,0.12077,0.012077,2.2,0.28
16,19,0.23041,0.023041,2.2,0.28
19,20,0.11429,0.011429,2.2,0.28
14,21,0.0723,0.00723,2.2,0.28
21,22,1.1942,0.11942,2.2,0.28
22,23,0.15,0.015,2.2,0.28
22,24,0.489,0.0489,2.2,0.28
24,25,0.055,0.0055,2.2,0.28
24,26,1.70863,0.170863,2.2,0.28
26,27,0.049,0.0049,2.2,0.28
26,28,0.2685,0.02685,2.2,0.28
28,29,0.285,0.0285,2.2,0.28
28,30,0.20458,0.020458,2.2,0.28
30,31,0.4263,0.04263,2.2,0.28
31,32,0.82046,0.082046,2.2,0.28
31,33,0.1173,0.01173,2.2,0.28
33,34,0.5112,0.05112,2.2,0.28
34,35,0.6107,0.06107,2.2,0.28
35,36,0.2545,0.02545,2.2,0.28
36,37,0.3965,0.03965,2.2,0.28
37,38,0.53202,0.053202,2.2,0.28
38,39,0.012,0.0012,2.2,0.28
39,40,0.14591,0.014591,2.2,0.28
40,41,0.33466,0.033466,2.2,0.28
40,42,1.5896,0.15896,2.2,0.28
42,43,0.27154,0.027154,2.2,0.28
43,44,0.79499,0.079499,2.2,0.28
43,45,1.10808,0.110808,2.2,0.28
45,46,0.43855,0.043855,2.2,0.28
46,47,1.63759,0.163759,2.2,0.28
46,48,0.5468,0.05468,2.2,0.28
48,49,0.81815,0.081815,2.2,0.28
49,50,24.51896,2.451896,2.2,0.28
50,51,0.56951,0.056951,2.2,0.28
50,52,18.08814,1.808814,2.2,0.28
38,53,0.31748,0.031748,2.2,0.28
53,54,0.113,0.0113,2.2,0.28
54,55,0.16103,0.016103,2.2,0.28
55,56,0.70558,0.070558,2.2,0.28
56,57,0.93569,0.093569,2.2,0.28
56,58,0.32557,0.032557,2.2,0.28
58,59,0.31043,0.031043,2.2,0.28
59,60,0.075,0.0075,2.2,0.28
60,61,1.3313,0.13313,2.2,0.28
59,62,4.15952,0.415952,2.2,0.28
62,63,0.1086,0.01086,2.2,0.28
62,64,2.35842,0.235842,2.2,0.28
53,65,0.4311,0.04311,2.2,0.28
65,66,0.0657,0.00657,2.2,0.28
65,67,0.5544,0.05544,2.2,0.28
67,68,0.1144,0.01144,2.2,0.28
68,69,0.1035,0.01035,2.2,0.28
68,70,0.1411,0.01411,2.2,0.28
70,71,0.50706,0.050706,2.2,0.28
