Node,N_RP (per year),N_SW (per year),D_RP (per year),D_SW (per year)
2,0.034484,8.095110000000004,0.07586480000000001,2.2666308000000006
3,0.040414,8.089180000000004,0.08891080000000001,2.2649704000000006
4,0.228456,7.901138000000005,0.5026032,2.2123186400000003
5,0.258326,7.871268000000004,0.5683172000000001,2.2039550400000003
6,0.282456,7.847138000000005,0.6214032,2.1971986400000008
7,0.282106,7.847488000000005,0.6206332000000001,2.1972966400000007
8,0.296881,7.8327130000000045,0.6531382000000001,2.1931596400000006
9,0.29946100000000003,7.8301330000000045,0.6588142000000001,2.1924372400000007
10,0.319956,7.809638000000004,0.7039032000000001,2.1866986400000004
11,0.601692,7.5279020000000045,1.3237224,2.1078125600000006
12,0.43797600000000003,7.6916180000000045,0.9635472,2.1536530400000005
13,0.497416,7.632178000000004,1.0943152,2.1370098400000006
14,0.546936,7.582658000000005,1.2032592,2.1231442400000007
15,0.5524129999999999,7.577181000000005,1.2153086,2.1216106800000007
16,0.5645459999999999,7.565048000000004,1.2420012,2.118213440000001
17,0.5848159999999999,7.544778000000004,1.2865952,2.1125378400000008
18,0.5968929999999999,7.532701000000005,1.3131646000000001,2.1091562800000005
19,0.5875869999999999,7.542007000000004,1.2926914,2.1117619600000004
20,0.5990159999999999,7.530578000000005,1.3178352,2.1085618400000006
21,0.5541659999999999,7.575428000000004,1.2191652,2.1211198400000004
22,0.6735859999999999,7.456008000000004,1.4818892,2.0876822400000004
23,0.6885859999999999,7.4410080000000045,1.5148891999999998,2.0834822400000004
24,0.722486,7.4071080000000045,1.5894692,2.0739902400000005
25,0.7279859999999999,7.401608000000005,1.6015692,2.0724502400000007
26,0.893349,7.236245000000005,1.9653677999999999,2.0261486000000004
27,0.898249,7.231345000000005,1.9761478,2.0247766000000005
28,0.920199,7.209395000000004,2.0244378,2.0186306000000007
29,0.948699,7.180895000000005,2.0871378,2.0106506000000004
30,0.940657,7.188937000000005,2.0694453999999998,2.0129023600000004
31,0.983287,7.146307000000005,2.1632314,2.0009659600000003
32,1.065333,7.064261000000005,2.3437326,1.9779930800000005
33,0.995017,7.134577000000005,2.1890374,1.9976815600000004
34,1.046137,7.0834570000000046,2.3015014000000003,1.9833679600000005
35,1.107207,7.022387000000005,2.4358554000000003,1.9662683600000004
36,1.132657,6.996937000000004,2.4918454000000003,1.9591423600000004
37,1.172307,6.957287000000004,2.5790754000000002,1.9480403600000005
38,1.225509,6.904085000000005,2.6961198000000004,1.9331438000000005
39,1.226709,6.902885000000005,2.6987598000000004,1.9328078000000004
40,1.2413,6.888294000000005,2.7308600000000003,1.9287223200000005
41,1.274766,6.854828000000005,2.8044852000000002,1.9193518400000005
42,1.40026,6.729334000000004,3.080572,1.8842135200000005
43,1.427414,6.702180000000005,3.1403108,1.8766104000000006
44,1.506913,6.6226810000000045,3.3152086,1.8543506800000005
45,1.538222,6.591372000000004,3.3840884,1.8455841600000005
46,1.582077,6.5475170000000045,3.4805694,1.8333047600000005
47,1.745836,6.383758000000005,3.8408392,1.7874522400000004
48,1.636757,6.492837000000004,3.6008654,1.8179943600000006
49,1.718572,6.411022000000004,3.7808584,1.7950861600000005
50,4.170468,3.959126000000005,9.1750296,1.1085552800000005
51,4.227418999999999,3.902175000000005,9.3003218,1.0926090000000004
52,5.9792819999999995,2.150312000000005,13.1544204,0.6020873600000005
53,1.257257,6.872337000000004,2.7659654000000002,1.9242543600000004
54,1.2685570000000002,6.861037000000004,2.7908254,1.9210903600000004
55,1.2846600000000001,6.844934000000004,2.826252,1.9165815200000005
56,1.355218,6.774376000000005,2.9814796,1.8968252800000005
57,1.448787,6.680807000000004,3.1873314,1.8706259600000004
58,1.387775,6.741819000000005,3.053105,1.8877093200000004
59,1.418818,6.7107760000000045,3.1213996,1.8790172800000005
60,1.426318,6.703276000000004,3.1378996000000003,1.8769172800000005
61,1.559448,6.570146000000005,3.4307856000000005,1.8396408800000006
62,1.8347699999999998,6.294824000000005,4.036494,1.7625507200000006
63,1.8456299999999999,6.2839640000000045,4.060386,1.7595099200000006
64,2.0706119999999997,6.058982000000005,4.5553464,1.6965149600000005
65,1.300367,6.829227000000005,2.8608074,1.9121835600000003
66,1.306937,6.822657000000005,2.8752614000000003,1.9103439600000005
67,1.355807,6.773787000000004,2.9827754,1.8966603600000005
68,1.3672469999999999,6.7623470000000045,3.0079434,1.8934571600000005
69,1.377597,6.751997000000005,3.0307134,1.8905591600000005
70,1.381357,6.748237000000005,3.0389853999999996,1.8895063600000004
71,1.4320629999999999,6.697531000000005,3.1505385999999995,1.8753086800000005

=============
Estimated SAIDI: 4.94 hours per year
Estimated SAIFI: 8.13 interruptions per year
