Node,N_RP (per year),N_SW (per year),D_RP (per year),D_SW (per year)
2,0.352,1.7040000000000002,0.6688,0.43478000000000006
13,0.157,0.519,0.31714,0.12393000000000001
17,0.152,1.5110000000000001,0.25839999999999996,0.37922000000000006
27,0.385,1.695,0.5929,0.40337
3,0.46799999999999997,1.588,0.9448799999999999,0.40462000000000004
4,0.508,1.548,1.00732,0.39266
5,0.5549999999999999,1.5010000000000001,1.12961,0.39012
6,0.6709999999999999,1.3850000000000002,1.36857,0.36228000000000005
7,0.711,1.3450000000000002,1.47281,0.34644
8,0.7669999999999999,1.2890000000000001,1.53877,0.33712000000000003
9,0.9429999999999998,1.1130000000000002,1.8890099999999999,0.28432
10,0.96,1.096,1.86494,0.28308
11,0.9269999999999999,1.129,1.78197,0.30032000000000003
12,1.143,0.913,2.30685,0.25064000000000003
14,0.247,0.42900000000000005,0.5412399999999999,0.10323
15,0.472,0.20400000000000007,1.0825900000000002,0.05148
16,0.586,0.09000000000000008,1.2752500000000002,0.020699999999999996
18,0.276,1.387,0.50268,0.34698000000000007
19,0.387,1.276,0.7448499999999999,0.32282000000000005
20,0.541,1.1219999999999999,1.07287,0.2781600000000001
21,0.565,1.098,1.0367699999999997,0.27832000000000007
22,0.569,1.094,1.1215899999999999,0.27004000000000006
23,0.726,0.937,1.49996,0.22451000000000007
24,0.734,0.929,1.5324399999999998,0.23539000000000004
25,0.7789999999999999,0.8840000000000001,1.46809,0.22384000000000007
26,0.8849999999999999,0.7780000000000001,1.6906899999999998,0.20158000000000006
28,0.51,1.57,0.82165,0.36961999999999995
29,0.539,1.541,0.89628,0.36333
30,0.5880000000000001,1.492,1.04965,0.35464999999999997
31,0.7210000000000001,1.359,1.31033,0.32139999999999996
32,0.768,1.312,1.42585,0.31504999999999994
33,0.7870000000000001,1.293,1.3501400000000001,0.30689
34,0.9990000000000001,1.081,1.8080600000000002,0.26025
35,0.9310000000000002,1.149,1.60358,0.27808999999999995
36,1.094,0.986,1.89046,0.24059999999999998
37,1.1130000000000002,0.9669999999999999,1.98578,0.23076999999999998

=============
Estimated SAIDI: 1.53 hours per year
Estimated SAIFI: 1.81 interruptions per year
